,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
55114,12348469,JE209246,04/24/2021 11:00:00 PM,003XX N CICERO AVE,0560,ASSAULT,SIMPLE,TAVERN / LIQUOR STORE,False,False,1532,15,28.0,25,08A,1144311.0,1901922.0,2021,05/01/2021 04:48:16 PM,41.886893085,-87.745509336,"(41.886893085, -87.745509336)"
43541,12330763,JE187812,04/02/2021 08:00:00 PM,078XX S STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,623,6,6.0,69,14,1177638.0,1853215.0,2021,04/09/2021 05:06:35 PM,41.752545308,-87.62459954100002,"(41.752545308, -87.624599541)"
51843,12344141,JE204054,04/18/2021 05:30:00 PM,003XX N PEORIA,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214,12,27.0,28,06,,,2021,04/25/2021 04:52:22 PM,,,
58316,12354539,JE215928,04/30/2021 09:00:00 PM,033XX N CLAREMONT AVE,0810,THEFT,OVER $500,APARTMENT,False,False,1921,19,32.0,5,06,1160118.0,1922025.0,2021,05/07/2021 04:49:27 PM,41.941745415999996,-87.686905118,"(41.941745416, -87.686905118)"
46794,12339568,JE198039,04/08/2021 01:25:00 PM,063XX W HIGGINS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),False,False,1622,16,45.0,11,11,1132754.0,1934342.0,2021,04/15/2021 05:38:17 PM,41.976066739000004,-87.787192108,"(41.976066739, -87.787192108)"
60438,12360316,JE223691,05/03/2021 12:00:00 PM,040XX N KEYSTONE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,True,1722,17,39.0,16,11,1148567.0,1926609.0,2021,05/11/2021 04:58:38 PM,41.95455546,-87.729241379,"(41.95455546, -87.729241379)"
51414,12342541,JE202072,04/17/2021 12:00:00 PM,045XX W ADAMS ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,1113,11,28.0,26,04B,1146117.0,1898627.0,2021,04/24/2021 05:01:22 PM,41.87781708,-87.738960948,"(41.87781708, -87.738960948)"
26132,12306154,JE158029,01/20/2021 01:00:00 PM,033XX W MARQUETTE RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,831,8,17.0,66,14,1155352.0,1859995.0,2021,03/05/2021 03:46:59 PM,41.771625448,-87.70608770700001,"(41.771625448, -87.706087707)"
41793,12327716,JE183978,03/29/2021 12:00:00 AM,109XX S ESMOND ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2212,22,19.0,75,11,1166357.0,1831903.0,2021,04/05/2021 05:04:35 PM,41.694309456999996,-87.66654461600002,"(41.694309457, -87.666544616)"
58223,12357830,JE220827,04/24/2021 02:00:00 PM,053XX S PAULINA ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,932,9,16.0,61,06,1165916.0,1869365.0,2021,05/07/2021 04:47:30 PM,41.797119961,-87.66709727700001,"(41.797119961, -87.667097277)"
52016,12342979,JE202649,04/18/2021 04:00:00 AM,047XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,931,9,15.0,61,08B,1164484.0,1873279.0,2021,04/25/2021 04:52:22 PM,41.807890782,-87.67223821399998,"(41.807890782, -87.672238214)"
20870,12293565,JE142482,02/15/2021 04:00:00 PM,019XX W BRADLEY PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1922,19,47.0,5,11,1162728.0,1924913.0,2021,02/22/2021 03:49:17 PM,41.949615834,-87.67723103899998,"(41.949615834, -87.677231039)"
20089,12293317,JE141478,02/13/2021 08:00:00 PM,026XX N OAK PARK AVE,0810,THEFT,OVER $500,APARTMENT,False,True,2512,25,36.0,18,06,1130641.0,1916701.0,2021,02/20/2021 03:50:23 PM,41.927694596,-87.795369796,"(41.927694596, -87.795369796)"
37157,12324044,JE179596,02/09/2021 12:00:00 PM,025XX N WAYNE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1932,19,2.0,7,11,1166883.0,1916922.0,2021,03/27/2021 04:55:11 PM,41.927599840999996,-87.66218782799999,"(41.927599841, -87.662187828)"
43555,12330338,JE187349,04/02/2021 11:30:00 AM,004XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1221,12,27.0,24,06,1162986.0,1903267.0,2021,04/09/2021 05:06:35 PM,41.890212356,-87.676891734,"(41.890212356, -87.676891734)"
30242,12312719,JE165821,03/04/2021 05:00:00 PM,024XX N MASON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2515,25,30.0,19,06,1136319.0,1915665.0,2021,03/13/2021 03:48:24 PM,41.924752043000005,-87.774529804,"(41.924752043, -87.774529804)"
54354,12349434,JE210465,04/23/2021 06:00:00 PM,037XX N CLAREMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1921,19,47.0,5,14,1160042.0,1924713.0,2021,04/30/2021 04:49:54 PM,41.94912302,-87.68710996600002,"(41.94912302, -87.687109966)"
15828,12286858,JE132906,02/03/2021 02:58:00 PM,035XX W PALMER ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,1413,14,35.0,22,06,1152568.0,1914398.0,2021,02/10/2021 03:49:30 PM,41.920969192,-87.71485685100002,"(41.920969192, -87.714856851)"
14023,12282947,JE128721,01/29/2021 09:00:00 PM,004XX N LECLAIRE AVE,0810,THEFT,OVER $500,APARTMENT,False,False,1532,15,37.0,25,06,1142291.0,1902445.0,2021,02/05/2021 03:47:46 PM,41.888365991,-87.752914425,"(41.888365991, -87.752914425)"
39946,12323644,JE179086,03/25/2021 12:00:00 AM,109XX S DOTY AVE E,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,513,5,10.0,51,06,1185667.0,1832643.0,2021,04/01/2021 05:04:48 PM,41.695908161,-87.595822806,"(41.695908161, -87.595822806)"
7584,12275290,JE119212,01/08/2021 04:34:00 PM,0000X N WELLS ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,122,1,42.0,32,06,1174726.0,1900671.0,2021,01/23/2021 03:52:14 PM,41.882834231,-87.633855092,"(41.882834231, -87.633855092)"
27548,12304410,JE155915,03/01/2021 11:00:00 AM,027XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,False,False,1135,11,28.0,29,08B,1158071.0,1894595.0,2021,03/08/2021 03:55:51 PM,41.866517316999996,-87.695178701,"(41.866517317, -87.695178701)"
3994,12262677,JE104931,01/05/2021 12:01:00 AM,042XX S WABASH AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,213,2,3.0,38,06,1177418.0,1877019.0,2021,01/16/2021 03:49:23 PM,41.817870863,-87.62468679700001,"(41.817870863, -87.624686797)"
9716,12278764,JE123630,01/18/2021 08:00:00 AM,035XX N BOSWORTH AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1922,19,44.0,6,11,1165354.0,1923532.0,2021,01/28/2021 03:46:57 PM,41.945770736,-87.66761766399998,"(41.945770736, -87.667617664)"
21794,12299123,JE149520,02/18/2021 03:45:00 PM,048XX S WESTERN AVE,0560,ASSAULT,SIMPLE,NURSING / RETIREMENT HOME,False,False,922,9,15.0,61,08A,1161185.0,1872618.0,2021,02/25/2021 03:51:59 PM,41.806145915,-87.684356439,"(41.806145915, -87.684356439)"
48362,12337384,JE196069,04/11/2021 08:40:00 AM,068XX S OAKLEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,832,8,17.0,66,14,1162243.0,1859346.0,2021,04/18/2021 05:28:06 PM,41.769703811999996,-87.680845474,"(41.769703812, -87.680845474)"
26621,12303201,JE154501,02/27/2021 09:05:00 PM,021XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",False,False,132,1,3.0,33,06,1177977.0,1890072.0,2021,03/06/2021 03:50:24 PM,41.853676611,-87.622239838,"(41.853676611, -87.622239838)"
14626,12283093,JE127493,01/30/2021 11:10:00 AM,005XX E 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,624,6,6.0,44,08B,1181144.0,1852743.0,2021,02/06/2021 03:52:06 PM,41.751170117,-87.61176613200001,"(41.751170117, -87.611766132)"
33057,12315849,JE169692,03/11/2021 03:59:00 PM,075XX S CALUMET AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,623,6,6.0,69,04B,1179779.0,1855192.0,2021,03/18/2021 04:52:21 PM,41.757921749,-87.616693383,"(41.757921749, -87.616693383)"
41866,12327776,JE184049,03/29/2021 10:00:00 PM,068XX S NORMAL BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,722,7,6.0,68,04A,1174126.0,1859660.0,2021,04/05/2021 05:04:35 PM,41.770309828,-87.637278384,"(41.770309828, -87.637278384)"
60260,12359721,JE218630,05/03/2021 05:55:00 PM,048XX W WELLINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2521,25,31.0,19,08B,1143600.0,1919510.0,2021,05/11/2021 04:58:38 PM,41.935169781999996,-87.747679339,"(41.935169782, -87.747679339)"
62049,12359172,JE222249,05/07/2021 01:00:00 AM,075XX S ESSEX AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,421,4,7.0,43,04B,1194171.0,1855524.0,2021,05/14/2021 04:55:48 PM,41.758491683,-87.56393832100002,"(41.758491683, -87.563938321)"
20782,12293608,JE142415,02/15/2021 02:50:00 PM,052XX S PULASKI RD,0460,BATTERY,SIMPLE,RESTAURANT,False,False,822,8,23.0,62,08B,1150598.0,1869281.0,2021,02/22/2021 03:49:17 PM,41.797201502,-87.723272993,"(41.797201502, -87.723272993)"
43912,12332652,JE190243,04/02/2021 08:00:00 AM,014XX E 79TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,411,4,8.0,45,06,1187027.0,1852892.0,2021,04/09/2021 05:06:35 PM,41.751441575,-87.59020341700001,"(41.751441575, -87.590203417)"
42453,12327825,JE184074,03/30/2021 10:35:00 AM,106XX S AVENUE M,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,432,4,10.0,52,06,1201519.0,1835002.0,2021,04/06/2021 05:03:58 PM,41.701994336999995,-87.537704366,"(41.701994337, -87.537704366)"
49971,12344631,JE204582,04/04/2021 09:00:00 AM,061XX N WINTHROP AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,2433,24,48.0,77,11,1167745.0,1940988.0,2021,04/21/2021 04:49:40 PM,41.993619268,-87.65832371100002,"(41.993619268, -87.658323711)"
4021,12267359,JE108387,01/09/2021 11:05:00 PM,021XX W WARREN BLVD,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,STREET,False,False,1223,12,27.0,28,04B,1162125.0,1900333.0,2021,01/16/2021 03:52:53 PM,41.882179244,-87.68013573799999,"(41.882179244, -87.680135738)"
36770,12321515,JE176635,03/19/2021 03:00:00 AM,015XX S LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1014,10,24.0,29,08B,1151960.0,1892197.0,2021,03/26/2021 05:00:56 PM,41.860059396,-87.71767607,"(41.860059396, -87.71767607)"
44469,12331182,JE188362,04/03/2021 03:50:00 PM,030XX W COLUMBUS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,835,8,18.0,70,08B,1157580.0,1853011.0,2021,04/10/2021 05:05:58 PM,41.752415401,-87.69810957799999,"(41.752415401, -87.698109578)"
23871,12300891,JE151709,02/22/2021 08:30:00 PM,035XX W MONTROSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1723,17,35.0,14,14,1151834.0,1929010.0,2021,03/01/2021 03:46:28 PM,41.96108015,-87.71716784,"(41.96108015, -87.71716784)"
30589,12309151,JE161615,03/07/2021 07:00:00 AM,013XX N LONG AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,2532,25,37.0,25,08A,1140035.0,1908606.0,2021,03/14/2021 04:50:05 PM,41.905314094,-87.76104845399998,"(41.905314094, -87.761048454)"
43078,12329982,JE186822,04/01/2021 12:45:00 PM,131XX S BUFFALO AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,433,4,10.0,55,04B,1200083.0,1818523.0,2021,04/08/2021 05:05:01 PM,41.656810588,-87.543515585,"(41.656810588, -87.543515585)"
5777,12271919,JE115491,01/12/2021 12:00:00 PM,037XX N NOTTINGHAM AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1632,16,38.0,17,11,1128071.0,1924088.0,2021,01/20/2021 03:51:20 PM,41.948009277,-87.80464634100002,"(41.948009277, -87.804646341)"
7222,12271287,JE114905,01/16/2021 08:02:00 PM,027XX S WHIPPLE ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,1033,10,12.0,30,04B,1156469.0,1885750.0,2021,01/23/2021 03:54:52 PM,41.842278186,-87.70129883700001,"(41.842278186, -87.701298837)"
15952,12286013,JE132586,02/03/2021 01:30:00 PM,057XX S TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,824,8,14.0,63,08B,1156360.0,1866456.0,2021,02/10/2021 03:49:30 PM,41.789335148,-87.702218852,"(41.789335148, -87.702218852)"
128,12264852,JE107442,01/08/2021 08:05:00 PM,042XX W ARMITAGE AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,2534,25,35.0,20,08B,1147591.0,1912945.0,2021,01/16/2021 03:49:23 PM,41.917079062,-87.733180978,"(41.917079062, -87.733180978)"
59860,12356060,JE218414,05/03/2021 03:15:00 PM,041XX W CULLERTON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,True,1012,10,24.0,29,04A,1149141.0,1890101.0,2021,05/10/2021 04:53:33 PM,41.854362717,-87.72807819,"(41.854362717, -87.72807819)"
57000,12352895,JE214638,04/28/2021 06:00:00 PM,059XX W 64TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,812,8,13.0,64,06,1137910.0,1861497.0,2021,05/05/2021 04:52:00 PM,41.776078497,-87.76998940700001,"(41.776078497, -87.769989407)"
41366,12326740,JE182291,03/28/2021 01:20:00 PM,067XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,321,3,20.0,42,08B,1182717.0,1860597.0,2021,04/04/2021 05:01:16 PM,41.77268594,-87.605758495,"(41.77268594, -87.605758495)"
54257,12347742,JE208297,04/23/2021 10:20:00 PM,040XX W MELROSE ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1731,17,30.0,16,08B,1148942.0,1921305.0,2021,04/30/2021 04:49:54 PM,41.939993597,-87.72800051700001,"(41.939993597, -87.728000517)"
13956,12285124,JE131488,01/15/2021 12:00:00 PM,069XX N KEDZIE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2411,24,50.0,2,11,1153857.0,1945811.0,2021,02/05/2021 03:45:16 PM,42.007142825,-87.70928012799999,"(42.007142825, -87.709280128)"
4507,12265858,JE108569,01/10/2021 05:00:00 AM,008XX W 84TH ST,0460,BATTERY,SIMPLE,SIDEWALK,False,True,613,6,21.0,71,08B,1172231.0,1849153.0,2021,01/17/2021 03:49:56 PM,41.741519165,-87.644533026,"(41.741519165, -87.644533026)"
21789,12291222,JE139231,02/11/2021 06:07:00 PM,008XX W 103RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CURRENCY EXCHANGE,True,False,2232,22,34.0,73,14,1172713.0,1836546.0,2021,02/25/2021 03:49:23 PM,41.70691318,-87.64313735200001,"(41.70691318, -87.643137352)"
16804,12286910,JE133612,02/05/2021 02:00:00 PM,026XX W 64TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,825,8,17.0,66,08A,1159665.0,1862084.0,2021,02/12/2021 03:49:04 PM,41.777270558000005,-87.690220294,"(41.777270558, -87.690220294)"
55607,12349107,JE210040,04/25/2021 09:09:00 PM,017XX N KOSTNER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,False,False,2533,25,36.0,23,14,1146787.0,1911143.0,2021,05/02/2021 05:01:17 PM,41.912149595,-87.736181,"(41.912149595, -87.736181)"
18144,12289039,JE136458,02/09/2021 12:03:00 AM,001XX N CLARK ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,False,False,122,1,42.0,32,06,1175505.0,1901622.0,2021,02/16/2021 03:52:33 PM,41.885426371,-87.630966024,"(41.885426371, -87.630966024)"
21526,12295122,JE144427,02/17/2021 10:40:00 PM,006XX E 69TH ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,OTHER (SPECIFY),False,False,321,3,20.0,42,04B,1181907.0,1859412.0,2021,02/24/2021 03:49:12 PM,41.769452949,-87.60876429999998,"(41.769452949, -87.6087643)"
11767,12279351,JE124364,01/25/2021 10:00:00 AM,050XX W MAYPOLE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1532,15,28.0,25,11,1142774.0,1900994.0,2021,02/01/2021 03:48:35 PM,41.884375293000005,-87.751176805,"(41.884375293, -87.751176805)"
40759,12325892,JE181769,03/27/2021 09:17:00 PM,096XX S HOXIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,431,4,10.0,51,08B,1195060.0,1841383.0,2021,04/03/2021 05:04:00 PM,41.719665733,-87.561145289,"(41.719665733, -87.561145289)"
20904,12293635,JE142437,02/15/2021 03:10:00 PM,019XX S MILLER ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,1235,12,25.0,31,08A,1169770.0,1890927.0,2021,02/22/2021 03:49:17 PM,41.856205354000004,-87.65233743,"(41.856205354, -87.65233743)"
6043,12269062,JE111336,01/13/2021 07:40:00 AM,007XX W 33RD ST,0820,THEFT,$500 AND UNDER,STREET,False,False,915,9,11.0,60,06,1171746.0,1883001.0,2021,01/20/2021 03:53:42 PM,41.834412508,-87.64531761399998,"(41.834412508, -87.645317614)"
18750,12291175,JE138949,02/11/2021 03:27:00 PM,008XX N FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1211,12,26.0,24,08B,1156894.0,1905651.0,2021,02/19/2021 03:45:56 PM,41.896879979,-87.69919969700001,"(41.896879979, -87.699199697)"
47054,12335853,JE194057,04/08/2021 01:50:00 PM,042XX W CONGRESS PKWY,0820,THEFT,$500 AND UNDER,CTA BUS,False,False,1132,11,28.0,26,06,1148306.0,1897357.0,2021,04/15/2021 05:38:17 PM,41.874290173,-87.730956137,"(41.874290173, -87.730956137)"
